record_id,record_type,display_name,one_line_description,full_description,full_description_or_source_reference,description_status,prerequisites_readable,acquisition_route,source_attribution,restriction_explanation,advanced,source_provenance,record_commitment_sha256
tianxia.sphere.blood,sphere,Blood,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:12026,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:12026,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.blood""}","{""source_anchor"":""line:12026"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",9d16f605513000f2f635205954cd437a455f49f3e126e232c590d5541cd6c5c7
tianxia.sphere.brute,sphere,Brute,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:13308,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:13308,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.brute""}","{""source_anchor"":""line:13308"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",a3221259916d6d3f069c88f5e70c5aac14f04d832d8d6cc3e4991028f12463e6
tianxia.sphere.chains,sphere,Chains,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:14371,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:14371,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.chains""}","{""source_anchor"":""line:14371"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",d5f2b3f140b4b0bcab0582653c58a47a7bbac888567d370c1dbbce05373f6ace
tianxia.sphere.daemonic_cultivation,sphere,Daemonic Cultivation,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:16422,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:16422,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.daemonic_cultivation""}","{""source_anchor"":""line:16422"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",a48e98fd626072472124bbb411dd9764e2ec9c8ebe9d38a363623547a7715887
tianxia.sphere.dark,sphere,Dark,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:17864,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:17864,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.dark""}","{""source_anchor"":""line:17864"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",9710bbde47f408e610b8bed5f6fe24e48bb301a53810f3aaf1f77c4fe83bddbd
tianxia.sphere.death,sphere,Death,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:18588,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:18588,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.death""}","{""source_anchor"":""line:18588"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",6eba12af602ef6a3fc48219ca34403f35f33f1a4517aebc71f14327a3a0faff2
tianxia.sphere.destruction,sphere,Destruction,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:20208,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:20208,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.destruction""}","{""source_anchor"":""line:20208"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",6de040b3140c7234331781e03f177c45c5aca8a2fa763b9639ea57f6c60c899b
tianxia.sphere.disease,sphere,Disease,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:21442,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:21442,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.disease""}","{""source_anchor"":""line:21442"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",c1a079c228c4d76cd6a245b015dd296bcfb26c290ba8c13e570639a6837796f9
tianxia.sphere.dreams,sphere,Dreams,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:22825,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:22825,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.dreams""}","{""source_anchor"":""line:22825"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",dd53ce7dcf98e0916e0762ba56cefefb1b7658f868dded5fc0a55dabbf9afd6b
tianxia.sphere.drunken_style,sphere,Drunken Style,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:24068,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:24068,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.drunken_style""}","{""source_anchor"":""line:24068"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",1a5dc80d36f151f005b097c817b2d2d76a29b83fa0da88f9b5629f4817c4d312
tianxia.sphere.dual_wielding,sphere,Dual Wielding,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:25113,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:25113,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.dual_wielding""}","{""source_anchor"":""line:25113"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",6d45431216f6898544880b4c9e6520d3e8ed6450f54ffc4de490180a4ccf2f42
tianxia.sphere.earth,sphere,Earth,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:25755,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:25755,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.earth""}","{""source_anchor"":""line:25755"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",f7708057feb4da00fea32e6d682ab65c47556ba4db7864f6488df0b0ec118192
