candidate_record_id,display_name,source_label,cat1_classification,reason,source_context,included_in_canonical_selectable_registry
TALENT_PACKET_LIFE_DIAGNOSIS_ADVANTAGE_NEXT_HEAL,Diagnosis Advantage Next Heal,Life,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_LIFE_ESOTERIC_VITALITY_VALID_TARGET,Esoteric Vitality Target Legality,Life,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_LIFE_FOUNT_STORED_HEALING_RELEASE,Fount of Life Stored Healing Release,Life,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_LIFE_HALL_RETURNING_BREATH_FIELD_HEALING,Hall of Returning Breath Field Healing,Life,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_LIFE_MEND_TOUCH_HEALING_INSTANCE,Mend Touch Healing Instance,Life,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_LIFE_POISON_DISEASE_TREATMENT_PACKET,Poison Disease Treatment Packet,Life,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_LIFE_PRESERVING_DIAGNOSIS_CONDITION_GATE,Life-Preserving Diagnosis Condition Gate,Life,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_LIFE_REGENERATION_OVER_TIME,Regeneration Over Time,Life,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_LIFE_SEAL_REACH_RANGED_PULSE,Life-Seal Reach Ranged Pulse,Life,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_LIFE_STABILIZE_DYING_NO_RESURRECTION,Stabilize Dying No Resurrection,Life,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_LIMITED_PROTECTION_REDUCTION_CAP,Limited Protection Reduction Cap,Protection,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_MITIGATION_SHARED_DAMAGE_TRANSFER,Shared Damage Transfer,Protection,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_PREVENT_DEATH_LAST_BREATH_GATE,Prevent Death Last Breath Gate,Life,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_PROTECTION_AEGIS_REACTION_MITIGATION,Aegis Reaction Mitigation,Protection,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_PROTECTION_BARRIER_FIELD_DAMAGE_REDUCTION,Barrier Field Damage Reduction,Protection,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_PROTECTION_COUNTERSEAL_REACTION_BLOCK,Counterseal Reaction Block,Protection,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_PROTECTION_FIELD_ALLY_COVER,Protection Field Ally Cover,Protection,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_PROTECTION_INTERPOSING_WARD_DAMAGE_PREVENTION,Interposing Ward Damage Prevention,Protection,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_PROTECTION_RETALIATORY_AEGIS_MARK,Retaliatory Aegis Mark,Protection,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_PROTECTION_SANCTUARY_ATTACK_DISADVANTAGE,Sanctuary Attack Disadvantage Ward,Protection,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_PROTECTION_WARD_RENEWAL_END_ROUND,Ward Renewal End Round,Protection,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_REACTION_MITIGATION_WINDOW_LOCK,Reaction Mitigation Window Lock,Universal,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_TEMP_HP_REPLACEMENT_AND_STACKING_RULE,Temp HP Replacement and Stacking Rule,Universal,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_VITALITY_BLOCKED_WHEEL_TEMP_HP_LOCKOUT,Blocked Wheel Temp HP Lockout,Vitality,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_VITALITY_BURST_RISK_OVERCHANNEL,Vitality Burst Risk Overchannel,Vitality,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_VITALITY_DIFFERENT_TALENT_STACKING_CONTRACT,Different Talent Stacking Contract,Vitality,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_VITALITY_GUARD_REACTION_TEMP_HP_CONVERT,Vitality Guard Reaction Temp HP Convert,Vitality,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_VITALITY_OPEN_WHEEL_TEMP_HP_AMPLIFIER,Open Wheel Temp HP Amplifier,Vitality,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_VITALITY_OVERFLOW_BUFFER_DAMAGE_ABLATION,Overflow Buffer Damage Ablation,Vitality,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_VITALITY_SELF_TEMP_HP_STACKING_RULE,Self Temp HP Stacking Rule,Vitality,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_VITALITY_SHARED_TEMP_HP_NON_STACK_SAME_SOURCE,Shared Temp HP Same-Source Nonstack,Vitality,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_VITALITY_TEMP_HP_DECAY_END_SCENE,Temp HP Decay End Scene,Vitality,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_WARD_BREAK_AND_RENEWAL_STATE,Ward Break and Renewal State,Protection,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TAL_AIR_DISPERSE_FIELD_COUNTERPLAY,Disperse Field Counterplay,Air,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TAL_AIR_GUST_FORCED_MOVEMENT,Gust Forced Movement,Air,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TAL_AIR_UPDRAFT_VERTICALITY_FALL_SURFACE,Updraft Verticality and Fall Surface,Air,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TAL_AIR_WIND_WALL_PROJECTILE_COVER,Wind Wall Projectile Cover,Air,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TAL_ATHLETICS_CHARGE_MOMENTUM,Charge Momentum,Athletics,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TAL_ATHLETICS_GRAPPLE_ENTRY,Grapple Entry,Athletics,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TAL_ATHLETICS_SHOVE_DRIVE,Shove / Drive,Athletics,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TAL_BEAUTY_BEAUTY_SAVE_DC,Beauty Save DC,Beauty,GENERATED_OR_PROJECTION_ROW,"Catalog role explicitly identifies a packet/action projection row, not a separately acquirable Talent.","{""declared_source_refs"":[""Tianxia_Sphere_Compendium_Player_Facing_Compilation_HF05L_HF05G_EDITORIAL_CLEANUP_2026_06_26(1).md :: Sphere of Beauty :: Key Terms > Beauty Save DC""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TAL_BERSERKER_ADRENALINE,Adrenaline,Berserker,GENERATED_OR_PROJECTION_ROW,"Catalog role explicitly identifies a packet/action projection row, not a separately acquirable Talent.","{""declared_source_refs"":[""Tianxia_Sphere_Compendium_Player_Facing_Compilation_HF05L_HF05G_EDITORIAL_CLEANUP_2026_06_26(1).md :: Sphere of Berserker :: Core Berserker Rules > Adrenaline""],""exact_name_heading_hits"":[{""heading"":""#### Adrenaline"",""line"":9427},{""heading"":""#### Adrenaline"",""line"":9477},{""heading"":""#### Adrenaline Talents"",""line"":9487},{""heading"":""#### Berserk - Adrenaline"",""line"":9513},{""heading"":""#### Dreadnought - Adrenaline"",""line"":9521},{""heading"":""#### Juggernaut - Adrenaline"",""line"":9537},{""heading"":""#### Marauder - Adrenaline"",""line"":9547},{""heading"":""#### Executioner - Adrenaline, Focus"",""line"":9656},{""heading"":""#### Atavism - Adrenaline, Realm Evolution"",""line"":9816},{""heading"":""#### Unyielding Advance - Adrenaline"",""line"":9953},{""heading"":""#### Adrenaline Surge - Breath, Response"",""line"":51078}],""exact_name_nonheading_hits"":[{""line"":5162,""text"":""Berserker remains the specialist sphere for committed fury, Adrenaline, Batter, and exertion risk. Axes can be fierce but is not rage by default.""},{""line"":9377,""text"":""Core Chassis: Adrenaline, Batter, Battered state, Exertion talents""},{""line"":9379,""text"":""Berserker cultivates committed force. Its basic loop is to accept risk through Adrenaline, land a Batter attack, and exploit the target’s physically disrupted Battered state with one Exertion talent.""},{""line"":9429,""text"":""At the start of your turn, choose whether to enter Adrenaline until the start of your next turn.""},{""line"":9431,""text"":""While Adrenaline is active:""},{""line"":9435,""text"":""gain the benefit of one Adrenaline talent you know.""},{""line"":9437,""text"":""You may choose a different Adrenaline talent each time you activate Adrenaline.""},{""line"":9439,""text"":""Unless a talent says otherwise, activate only one Adrenaline talent at a time.""},{""line"":9479,""text"":""When you learn Berserker, gain Adrenaline and choose one Mortal Realm Adrenaline talent for which you meet the prerequisites.""},{""line"":9489,""text"":""An Adrenaline talent modifies the benefit gained while accepting the Adrenaline AC penalty.""}]}",false
TAL_BLACKSMITH_CRAFTED_OBJECT_DURABILITY_LEDGER,Crafted Object Durability Ledger,Blacksmith,GENERATED_OR_PROJECTION_ROW,Declared source reference identifies a structural/projection packet whose exact talent authority remained backlog work.,"{""declared_source_refs"":[""R13A8-C07 user-approved scope; exact source-text/dice verification remains cleanup backlog.""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TAL_BLACKSMITH_INFUSION_SOURCE_ID,Infused Object Source ID,Blacksmith,GENERATED_OR_PROJECTION_ROW,Declared source reference identifies a structural/projection packet whose exact talent authority remained backlog work.,"{""declared_source_refs"":[""R13A8-C07 user-approved scope; exact source-text/dice verification remains cleanup backlog.""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TAL_BLACKSMITH_OBJECT_BREAK_COUNTERPLAY,Object Break Counterplay,Blacksmith,GENERATED_OR_PROJECTION_ROW,Declared source reference identifies a structural/projection packet whose exact talent authority remained backlog work.,"{""declared_source_refs"":[""R13A8-C07 user-approved scope; exact source-text/dice verification remains cleanup backlog.""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TAL_BLACKSMITH_REINFORCE_OBJECT_DR,Reinforce Object Damage Reduction,Blacksmith,GENERATED_OR_PROJECTION_ROW,Declared source reference identifies a structural/projection packet whose exact talent authority remained backlog work.,"{""declared_source_refs"":[""R13A8-C07 user-approved scope; exact source-text/dice verification remains cleanup backlog.""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TAL_BLACKSMITH_REPAIR_WINDOW_RESOURCE_LEDGER,Repair Window Resource Ledger,Blacksmith,GENERATED_OR_PROJECTION_ROW,Declared source reference identifies a structural/projection packet whose exact talent authority remained backlog work.,"{""declared_source_refs"":[""R13A8-C07 user-approved scope; exact source-text/dice verification remains cleanup backlog.""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TAL_BLOOD_BINDING,Blood Binding,Blood,GENERATED_OR_PROJECTION_ROW,Declared source reference identifies a structural/projection packet whose exact talent authority remained backlog work.,"{""declared_source_refs"":[""C09 structural seed packet. Exact dice/source-text verification remains in C09 cleanup backlog unless explicitly certified in a later source-text pass.""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TAL_BLOOD_BLOODLETTING,Bloodletting,Blood,GENERATED_OR_PROJECTION_ROW,Declared source reference identifies a structural/projection packet whose exact talent authority remained backlog work.,"{""declared_source_refs"":[""C09 structural seed packet. Exact dice/source-text verification remains in C09 cleanup backlog unless explicitly certified in a later source-text pass.""],""exact_name_heading_hits"":[{""heading"":""#### Bloodletting Strike - Thread Augment"",""line"":12252}],""exact_name_nonheading_hits"":[{""line"":12266,""text"":""A creature can suffer only one Bloodletting Strike from you at a time.""}]}",false
TAL_BLOOD_FORBIDDEN_BOUNDARY,Forbidden Blood Price Boundary,Blood,GENERATED_OR_PROJECTION_ROW,Declared source reference identifies a structural/projection packet whose exact talent authority remained backlog work.,"{""declared_source_refs"":[""C09 structural seed packet. Exact dice/source-text verification remains in C09 cleanup backlog unless explicitly certified in a later source-text pass.""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TAL_BLOOD_HEAL_THROTTLE,Blood Seals the Wound,Blood,GENERATED_OR_PROJECTION_ROW,Declared source reference identifies a structural/projection packet whose exact talent authority remained backlog work.,"{""declared_source_refs"":[""C09 structural seed packet. Exact dice/source-text verification remains in C09 cleanup backlog unless explicitly certified in a later source-text pass.""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TAL_BLOOD_SELF_COST,Blood Price,Blood,GENERATED_OR_PROJECTION_ROW,Declared source reference identifies a structural/projection packet whose exact talent authority remained backlog work.,"{""declared_source_refs"":[""C09 structural seed packet. Exact dice/source-text verification remains in C09 cleanup backlog unless explicitly certified in a later source-text pass.""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
